Product,Fund,Cohort,Pay Term,Last Month AS,Exchange Rate CM,Exchange Rate LM,Exchange Rate,Premium,Implicit Expense,Surrender,Claims,Policy Fee,Maturity,Risk Charge,Investment Income,SH Allowance,AS MIX,AS NGCF MIX,Exchange Rate from Inv to P&L,End AS for PL,Exchange Rate from P&L to BS,END AS for BS
WA Gen 2,UL001000,201803_1,All,28070479.18758430,7.84074000,7.82225000,,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,,,,,,,,
WA Gen 2,UL001000,201804_1,All,9354972.83066171,7.84074000,7.82225000,,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,,,,,,,,
WA Gen 2,UL001000,201805_1,All,8876388.33970377,7.84074000,7.82225000,,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,,,,,,,,
WA Gen 2,UL001000,201806_1,All,1926801.79292947,7.84074000,7.82225000,,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,,,,,,,,
WA Gen 2,UL001000,201807_1,All,8188317.69234867,7.84074000,7.82225000,,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,,,,,,,,
WA Gen 2,UL001000,201808_1,All,4616774.73375687,7.84074000,7.82225000,,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,,,,,,,,
WA Gen 2,UL001000,201809_1,All,23395021.34821080,7.84074000,7.82225000,,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,,,,,,,,
WA Gen 2,UL001000,201810_1,All,3440412.77228183,7.84074000,7.82225000,,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,,,,,,,,
WA Gen 2,UL001000,201811_1,All,4947476.25815856,7.84074000,7.82225000,,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,,,,,,,,
WA Gen 2,UL001000,201812_1,All,7363370.36605089,7.84074000,7.82225000,,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,,,,,,,,
WA Gen 2,UL001000,201901_1,All,8571735.76001975,7.84074000,7.82225000,,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,,,,,,,,
WA Gen 2,UL001000,201902_1,All,6175033.44231123,7.84074000,7.82225000,,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,,,,,,,,
WA Gen 2,UL001000,201903_1,All,14263367.18520860,7.84074000,7.82225000,,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,,,,,,,,
WA Gen 2,UL001000,201904_1,All,1578196.44758167,7.84074000,7.82225000,,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,,,,,,,,
WA Gen 2,UL001000,201905_1,All,519866.38048664,7.84074000,7.82225000,,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,,,,,,,,
WA Gen 2,UL001000,201906_1,All,26418515.77979530,7.84074000,7.82225000,,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,,,,,,,,
WA Gen 2,UL001000,201907_1,All,10358294.11558790,7.84074000,7.82225000,,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,,,,,,,,
WA Gen 2,UL001000,201908_1,All,6081202.20015765,7.84074000,7.82225000,,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,,,,,,,,
WA Gen 2,UL001000,201909_1,All,1434549.22918076,7.84074000,7.82225000,,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,,,,,,,,
WA Gen 2,UL001000,201910_1,All,27533796.97225100,7.84074000,7.82225000,,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,,,,,,,,
WA Gen 2,UL001000,201911_1,All,7020489.79911670,7.84074000,7.82225000,,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,,,,,,,,
WA Gen 2,UL001000,201912_1,All,4471089.76438221,7.84074000,7.82225000,,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
